fixture_id,model,arm,round,outcome,tokens_in,tokens_out,tokens_reasoning,cost_usd
v3-waitlist-promotion--embed-neutral,opus-5,thinking,1,pass,1129,4399,821,0.11562
v3-waitlist-promotion--embed-prod,opus-5,thinking,1,pass,1170,5288,1005,0.13805
v3-waitlist-promotion--short,opus-5,thinking,1,pass,808,6518,1634,0.16699
v3-zone-shipping-cost--embed-neutral,opus-5,thinking,1,pass,619,1367,84,0.03727
v3-zone-shipping-cost--embed-prod,opus-5,thinking,1,pass,649,1631,127,0.04402
v3-zone-shipping-cost--short,opus-5,thinking,1,pass,382,2079,204,0.053885
v3-audit-log-pii-mask--embed-neutral,sonnet,thinking,1,pass,376,534,0,0.006092
v3-audit-log-pii-mask--embed-prod,sonnet,thinking,1,pass,420,279,0,0.00363
v3-audit-log-pii-mask--short,sonnet,thinking,1,pass,241,488,0,0.005362
v3-coupon-stack-refactor--embed-neutral,sonnet,thinking,1,pass,535,539,0,0.00646
v3-coupon-stack-refactor--embed-prod,sonnet,thinking,1,pass,574,761,0,0.008758
v3-coupon-stack-refactor--short,sonnet,thinking,1,pass,309,616,0,0.006778
v3-cron-next-run-dst--embed-neutral,sonnet,thinking,1,pass,823,1540,0,0.017046
v3-cron-next-run-dst--embed-prod,sonnet,thinking,1,pass,861,1921,457,0.020932
v3-cron-next-run-dst--short,sonnet,thinking,1,pass,511,2186,854,0.022882
v3-currency-round-refactor--embed-neutral,sonnet,thinking,1,pass,630,1322,256,0.01448
v3-currency-round-refactor--embed-prod,sonnet,thinking,1,pass,683,1247,185,0.013836
v3-currency-round-refactor--short,sonnet,thinking,1,pass,330,2264,321,0.0233
v3-inventory-hold-release--embed-neutral,sonnet,thinking,1,pass,1047,1626,0,0.018354
v3-inventory-hold-release--embed-prod,sonnet,thinking,1,pass,1107,1507,0,0.017284
v3-inventory-hold-release--short,sonnet,thinking,1,pass,448,2109,276,0.021986
v3-loyalty-points-fifo-expiry--embed-neutral,sonnet,thinking,1,pass,885,916,0,0.01093
v3-loyalty-points-fifo-expiry--embed-prod,sonnet,thinking,1,pass,914,1409,0,0.015918
v3-loyalty-points-fifo-expiry--short,sonnet,thinking,1,pass,393,1781,0,0.018596
v3-room-booking-conflict--embed-neutral,sonnet,thinking,1,pass,782,1909,71,0.020654
v3-room-booking-conflict--embed-prod,sonnet,thinking,1,pass,815,1794,86,0.01957
v3-room-booking-conflict--short,sonnet,thinking,1,pass,429,2553,299,0.026388
v3-token-bucket-burst--embed-neutral,sonnet,thinking,1,pass,879,2209,264,0.023848
v3-token-bucket-burst--embed-prod,sonnet,thinking,1,pass,938,2319,319,0.025066
v3-token-bucket-burst--short,sonnet,thinking,1,pass,502,2925,514,0.030254
v3-waitlist-promotion--embed-neutral,sonnet,thinking,1,pass,1129,2448,247,0.026738
v3-waitlist-promotion--embed-prod,sonnet,thinking,1,pass,1170,2474,367,0.02708
v3-waitlist-promotion--short,sonnet,thinking,1,pass,808,3385,1063,0.035466
v3-zone-shipping-cost--embed-neutral,sonnet,thinking,1,pass,619,800,0,0.009238
v3-zone-shipping-cost--embed-prod,sonnet,thinking,1,pass,649,863,0,0.009928
v3-zone-shipping-cost--short,sonnet,thinking,1,pass,382,1147,97,0.012234
